Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/PSiter_from2ROPPM_dim50_step0.00035_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (6883876.1697610291, 2.0362304512458514e-13)
Iter #: 20 loss (6443707.1930408608, 2.0363823714611545e-13)
Iter #: 30 loss (6217592.0186242973, 2.69639079208417e-13)
Iter #: 40 loss (6084256.8384278798, 2.273905313299593e-13)
Iter #: 50 loss (5987087.863437511, 2.96504375936555e-13)
Iter #: 60 loss (5910934.4246839173, 2.9760324903352303e-13)
Iter #: 70 loss (5848202.8505065171, 3.4207646124230017e-13)
Iter #: 80 loss (5794696.3233788563, 3.7591016453844753e-13)
Iter #: 90 loss (5747795.3505920796, 3.6934994102884938e-13)
Iter #: 100 loss (5705857.0725768367, 4.3804346210230278e-13)
Iter #: 110 loss (5667830.5328069851, 4.0198677453497833e-13)
Iter #: 120 loss (5633007.7296678154, 5.1854613794217654e-13)
Iter #: 130 loss (5600889.4448053539, 4.0873776612686534e-13)
Iter #: 140 loss (5571107.825627733, 4.9920423952932845e-13)
Iter #: 150 loss (5543378.6692420971, 4.7143647436297081e-13)
Iter #: 160 loss (5517473.1990636634, 5.5837496177047154e-13)
Iter #: 170 loss (5493202.4435362183, 5.3301972418039056e-13)
Iter #: 180 loss (5470407.9715644596, 6.0177768226428222e-13)
Iter #: 190 loss (5448954.8559890613, 6.9047751980529948e-13)
Iter #: 200 loss (5428725.4931661813, 6.4460210004874206e-13)
Iter #: 210 loss (5409614.7207322, 6.2921821070168218e-13)
Iter #: 220 loss (5391526.8912836034, 5.5260129833500017e-13)
Iter #: 230 loss (5374374.7152927462, 6.179455744286385e-13)
Iter #: 240 loss (5358078.9911626214, 7.7748156367045201e-13)
Iter #: 250 loss (5342568.4126258353, 6.0881523961618236e-13)
Iter #: 260 loss (5327779.1274895594, 8.6368663726251839e-13)
Iter #: 270 loss (5313654.8547790265, 6.7890231305859308e-13)
Iter #: 280 loss (5302041.6696948027, 6.5602094494158942e-13)
Iter #: 290 loss (5316200.9814423351, 1.0359256367196618e-12)
Iter #: 300 loss (5305690.5560519686, 7.2745712389477954e-13)
Iter #: 310 loss (5296436.2835787218, 7.7571101201354945e-13)
Iter #: 320 loss (5288114.6288950136, 9.0417159844070072e-13)
Iter #: 330 loss (5280629.5376896933, 7.552119974778922e-13)
Iter #: 340 loss (5273894.6277624471, 1.0171857681215738e-12)
Iter #: 350 loss (5267813.2750789998, 8.2996166282273098e-13)
Iter #: 360 loss (5262272.9387620436, 8.7816236116625226e-13)
Iter #: 370 loss (5257146.430309739, 9.4758496621192627e-13)
Iter #: 380 loss (5252297.3705175091, 9.255940674254389e-13)
Iter #: 390 loss (5247588.0678175008, 1.0045631552882187e-12)
Iter #: 400 loss (5242888.8252508454, 9.6129464677147721e-13)
Iter #: 410 loss (5238086.8545574024, 8.283885511970769e-13)
Iter #: 420 loss (5233119.0834649056, 9.2360657675995356e-13)
