Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/PSiter_from2ROPPM_dim50_step0.005_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (9012407.3309422247, 2.223897371238222e-12)
Iter #: 20 loss (9356529.5722372476, 1.4980561420684729e-12)
Iter #: 30 loss (8539224.2290720232, 2.1850041644052906e-12)
Iter #: 40 loss (8792304.8141194638, 1.6029680926246489e-12)
Iter #: 50 loss (8068630.7138686106, 1.9878229852981951e-12)
Iter #: 60 loss (8672804.7767907605, 2.1071971140136711e-12)
Iter #: 70 loss (7908655.387536143, 2.3376940779860007e-12)
Iter #: 80 loss (8027698.7708728891, 2.0038746565338313e-12)
Iter #: 90 loss (8626078.3406537808, 2.4552808933146206e-12)
Iter #: 100 loss (8006984.0836980417, 2.4398367829100887e-12)
Iter #: 110 loss (8190229.3114158725, 2.5431033953907245e-12)
Iter #: 120 loss (8183587.024605995, 2.7434393532282285e-12)
Iter #: 130 loss (7970184.4844507212, 2.9527758463237972e-12)
Iter #: 140 loss (7693876.5113315796, 2.7087841130710612e-12)
Iter #: 150 loss (8081742.2371387649, 2.3582789444754543e-12)
Iter #: 160 loss (8405862.3457236644, 2.4367540301379209e-12)
Iter #: 170 loss (7892245.5888914056, 3.6023155788298844e-12)
Iter #: 180 loss (8247046.2419585641, 2.5910069401707692e-12)
Iter #: 190 loss (7872387.0107224314, 3.3881662850088482e-12)
Iter #: 200 loss (7590886.0463545043, 2.8532781106022302e-12)
Iter #: 210 loss (8088326.2472811639, 3.0906114543182119e-12)
Iter #: 220 loss (8023266.1221186863, 3.1465054548952022e-12)
Iter #: 230 loss (8146129.3641806571, 3.3927589084356472e-12)
Iter #: 240 loss (7811955.5827960512, 3.0552578579476648e-12)
Iter #: 250 loss (8045013.4742337922, 3.0694512426640069e-12)
Iter #: 260 loss (7684924.7768261964, 3.3894025664287936e-12)
Iter #: 270 loss (8216422.9851877484, 3.070251428803707e-12)
Iter #: 280 loss (7738182.8351668324, 3.2502943628682274e-12)
Iter #: 290 loss (7740165.9822929539, 2.9668749310858463e-12)
Iter #: 300 loss (7970782.8351918785, 3.237737379234712e-12)
Iter #: 310 loss (7962783.837754623, 2.9668764260538212e-12)
Iter #: 320 loss (8166158.919721405, 3.555281764231598e-12)
Iter #: 330 loss (8206702.1628511781, 3.4760346787694083e-12)
Iter #: 340 loss (7688955.2966657504, 3.6229399528275447e-12)
Iter #: 350 loss (7978131.4750144696, 3.3528070416904982e-12)
Iter #: 360 loss (7616419.8914785907, 3.892469463174569e-12)
Iter #: 370 loss (7790167.5881619528, 3.2912827814996271e-12)
Iter #: 380 loss (8008825.0603449401, 2.6492848925739988e-12)
Iter #: 390 loss (8221154.2891504327, 3.5999453894087451e-12)
Iter #: 400 loss (7892459.0429929849, 4.2428401497179946e-12)
Iter #: 410 loss (7953133.5250738738, 3.8223995658033834e-12)
Iter #: 420 loss (8160929.1410057005, 3.815290903360158e-12)
Iter #: 430 loss (7600251.3365537906, 3.6621063952898054e-12)
Iter #: 440 loss (7752132.5067871623, 3.1318681026322694e-12)
Iter #: 450 loss (7928131.9817422898, 4.5371750536940616e-12)
Iter #: 460 loss (7676604.6888819048, 4.5781420187343941e-12)
Iter #: 470 loss (7935868.7863506116, 3.9251940733966607e-12)
Iter #: 480 loss (7765572.8111088099, 3.5226580656046576e-12)
Iter #: 490 loss (7875862.2947435267, 4.0192706004700753e-12)
Iter #: 500 loss (7312810.7868666258, 3.8141336398812241e-12)
Iter #: 510 loss (7835740.2562426757, 3.2808860658735862e-12)
Iter #: 520 loss (8057763.6258441387, 4.1404724413595405e-12)
Iter #: 530 loss (7576746.1698238309, 4.2259076397875441e-12)
Iter #: 540 loss (8173808.8173831683, 3.4663096223167737e-12)
Iter #: 550 loss (7807257.1023350926, 3.2206050005531317e-12)
Iter #: 560 loss (8222925.6573778121, 4.7939141624884963e-12)
Iter #: 570 loss (7383050.3269050671, 4.0349095569961264e-12)
Iter #: 580 loss (8039503.7710736981, 4.4950566096289939e-12)
Iter #: 590 loss (7796754.861869338, 4.5708574379304582e-12)
Iter #: 600 loss (8010838.0661506532, 4.1573118272561133e-12)
Iter #: 610 loss (8328986.1359804552, 4.7960338883873248e-12)
Iter #: 620 loss (7329349.4028847292, 4.6161972177388572e-12)
Iter #: 630 loss (8473367.4607248567, 3.9529331473113617e-12)
Iter #: 640 loss (7476969.5280689262, 4.2222911891176034e-12)
Iter #: 650 loss (7781145.3529208815, 3.8156979234084665e-12)
Iter #: 660 loss (7817844.8463570159, 4.568319532362978e-12)
Iter #: 670 loss (8043380.7703003529, 3.9162548584578353e-12)
Iter #: 680 loss (7361072.962845711, 4.4594980857584236e-12)
Iter #: 690 loss (7799505.6383680757, 4.9880767923333743e-12)
Iter #: 700 loss (7516815.8720889511, 4.1265127695214337e-12)
Iter #: 710 loss (7569755.0080659464, 3.9376362872895561e-12)
Iter #: 720 loss (8092852.850306089, 4.5894922941602735e-12)
Iter #: 730 loss (7506518.6382954856, 4.6279517483391026e-12)
Iter #: 740 loss (8043713.976487685, 4.0591152147390424e-12)
Iter #: 750 loss (7629674.9522664808, 3.6851084947607739e-12)
Iter #: 760 loss (7563071.6680652993, 4.1431642599819648e-12)
Iter #: 770 loss (7839522.4936033078, 4.9624669048689149e-12)
Iter #: 780 loss (7647507.9922338007, 4.2439154596900805e-12)
Iter #: 790 loss (8150092.3143966561, 4.2148447588211697e-12)
Iter #: 800 loss (7558045.4787079794, 5.3272276712189849e-12)
Iter #: 810 loss (7986219.0149949482, 6.2200181616384172e-12)
Iter #: 820 loss (7254686.880990372, 5.6926029687615447e-12)
Iter #: 830 loss (7688870.0455336357, 4.6931073659874796e-12)
Iter #: 840 loss (8167476.2540675718, 5.5038701666083158e-12)
Iter #: 850 loss (7960486.0528213503, 5.6277265892321347e-12)
Iter #: 860 loss (7693810.317115807, 5.4888448858643516e-12)
