Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1.2e-05_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (6585766.7665124331, 2.4718284331890952)
Iter #: 20 loss (6412920.1943416065, 41.462141203940732)
Iter #: 30 loss (6503305.5343440454, 142.54983717920541)
Iter #: 40 loss (6024323.5856678626, 227.11122067731142)
Iter #: 50 loss (5931124.9738481743, 308.49563394652665)
Iter #: 60 loss (5781627.1734469431, 384.47877570107175)
Iter #: 70 loss (5687336.8682658216, 456.33010827555552)
Iter #: 80 loss (5595863.402754318, 524.88352796493336)
Iter #: 90 loss (5512969.7265481837, 589.87451496483106)
Iter #: 100 loss (5442194.7118972316, 651.44336620124454)
Iter #: 110 loss (5383608.4515656196, 710.12442052186748)
Iter #: 120 loss (5332959.2323977491, 766.12389007854551)
Iter #: 130 loss (5288392.8708067369, 819.52501663582711)
Iter #: 140 loss (5248971.3084380571, 870.44054931838753)
Iter #: 150 loss (5214045.0425709784, 919.0034894212796)
Iter #: 160 loss (5183090.3074148055, 965.34975695548985)
Iter #: 170 loss (5155656.2575390246, 1009.6106243169676)
Iter #: 180 loss (5131342.9097344643, 1051.9102776388786)
Iter #: 190 loss (5109791.9507000688, 1092.3653868509391)
Iter #: 200 loss (5090682.3539407859, 1131.085411875609)
Iter #: 210 loss (5073727.1401785687, 1168.1731447594007)
Iter #: 220 loss (5058670.2558270739, 1203.7252669549398)
Iter #: 230 loss (5045283.6189893093, 1237.8328245434122)
Iter #: 240 loss (5033364.5589941973, 1270.5815988384036)
Iter #: 250 loss (5022733.7375352308, 1302.0523927036661)
Iter #: 260 loss (5013233.4436716372, 1332.3212671273786)
Iter #: 270 loss (5004726.0144138392, 1361.4597572109367)
Iter #: 280 loss (4997092.1085453155, 1389.5350834731366)
Iter #: 290 loss (4990228.66530657, 1416.610361828991)
Iter #: 300 loss (4984046.5687312819, 1442.7448079470166)
Iter #: 310 loss (4978468.225568031, 1467.9939301955487)
Iter #: 320 loss (4973425.3538979096, 1492.4097091404403)
Iter #: 330 loss (4968857.2251981245, 1516.0407672338274)
Iter #: 340 loss (4964709.4459019462, 1538.9325356456961)
Iter #: 350 loss (4960933.2021355387, 1561.1274239752836)
Iter #: 360 loss (4957484.8019435797, 1582.6649943011314)
Iter #: 370 loss (4954325.348498567, 1603.5821369417265)
Iter #: 380 loss (4951420.4310346227, 1623.9132435504991)
Iter #: 390 loss (4948739.783247875, 1643.6903737265027)
Iter #: 400 loss (4946256.9047182016, 1662.9434129247475)
Iter #: 410 loss (4943948.6633821847, 1681.7002209416623)
Iter #: 420 loss (4941794.9019021299, 1699.9867711488916)
Iter #: 430 loss (4939778.0663290434, 1717.8272810000528)
Iter #: 440 loss (4937882.8681914378, 1735.2443343742382)
Iter #: 450 loss (4936095.9845597651, 1752.2589962463735)
Iter #: 460 loss (4934405.7959985528, 1768.890920093048)
Iter #: 470 loss (4932802.1596451122, 1785.1584483867616)
Iter #: 480 loss (4931276.2134675514, 1801.0787065015411)
Iter #: 490 loss (4929820.20752283, 1816.6676903393441)
Iter #: 500 loss (4928427.3582997443, 1831.9403479813693)
Iter #: 510 loss (4927091.7227294771, 1846.9106556662928)
Iter #: 520 loss (4925808.0889466694, 1861.5916883961404)
Iter #: 530 loss (4924571.8814193541, 1875.9956854684833)
Iter #: 540 loss (4923379.0783636365, 1890.1341112310874)
Iter #: 550 loss (4922226.1399446484, 1904.0177113501957)
Iter #: 560 loss (4921109.9454319878, 1917.6565648799015)
Iter #: 570 loss (4920027.7391772149, 1931.060132408199)
Iter #: 580 loss (4918977.0815968979, 1944.2373005595841)
Iter #: 590 loss (4917955.8118920811, 1957.19642308895)
Iter #: 600 loss (4916962.0001205411, 1969.9453588911827)
Iter #: 610 loss (4915993.9515976068, 1982.4915069399303)
Iter #: 620 loss (4915050.0687060412, 1994.8418390747547)
Iter #: 630 loss (4914129.1830872931, 2007.0029286319491)
Iter #: 640 loss (4913229.340664316, 2018.980982668488)
Iter #: 650 loss (4912351.5845163092, 2030.7818559994689)
Iter #: 660 loss (4911480.1557734394, 2042.4111968581744)
Iter #: 670 loss (4910498.6091458257, 2053.8757769822259)
Iter #: 680 loss (4903030.053978472, 2065.304391193939)
Iter #: 690 loss (4889931.8413794432, 2077.5993424735157)
Iter #: 700 loss (4885809.0759719796, 2089.5436879120598)
Iter #: 710 loss (4883439.823836199, 2101.1991883117057)
Iter #: 720 loss (4883520.6548723178, 2112.5961365074336)
Iter #: 730 loss (4883778.0127637303, 2123.7708945438244)
Iter #: 740 loss (4882467.1153391153, 2134.7669111354417)
Iter #: 750 loss (4880280.5516394582, 2145.6098958394273)
Iter #: 760 loss (4879204.8181001283, 2156.2964839577166)
Iter #: 770 loss (4879708.2964009373, 2166.81474902832)
Iter #: 780 loss (4879486.3228340438, 2177.1771246042681)
Iter #: 790 loss (4876628.5020331079, 2187.4209542945155)
Iter #: 800 loss (4873485.4611748848, 2197.5604832821941)
Iter #: 810 loss (4875513.1344699608, 2207.5451763404822)
Iter #: 820 loss (4880541.6509644184, 2217.3263473463585)
Iter #: 830 loss (4875915.8369642543, 2226.9967793766623)
Iter #: 840 loss (4857505.2863294715, 2236.7452559907333)
Iter #: 850 loss (4859375.5323031526, 2246.420073081666)
Iter #: 860 loss (4909565.1944018034, 2255.3822556072464)
Iter #: 870 loss (4886755.6527767479, 2264.1990794543449)
Iter #: 880 loss (4828711.2686177306, 2273.8044426498122)
Iter #: 890 loss (4850809.5751336757, 2283.0888818421317)
Iter #: 900 loss (4922472.7723945482, 2291.2351150001341)
Iter #: 910 loss (4883679.9224679312, 2299.6383114190321)
Iter #: 920 loss (4818493.8362585511, 2308.9395544032313)
Iter #: 930 loss (4847623.3720814614, 2317.831187244517)
Iter #: 940 loss (4925344.7366834721, 2325.4996751807384)
Iter #: 950 loss (4881735.21777362, 2333.4930162811152)
Iter #: 960 loss (4810779.881029957, 2342.476988554025)
Iter #: 970 loss (4844432.9206260713, 2351.0081966564812)
Iter #: 980 loss (4927553.8791533597, 2358.2347411475585)
Iter #: 990 loss (4879872.8287387034, 2365.8446551290303)
Iter #: 1000 loss (4803944.196236982, 2374.5267922310845)
Iter #: 1010 loss (4841417.9965418493, 2382.7218583245349)
Iter #: 1020 loss (4929264.9945598813, 2389.541765084909)
Iter #: 1030 loss (4878070.8697953001, 2396.7951450923747)
Iter #: 1040 loss (4797770.2955108266, 2405.1926045777595)
Iter #: 1050 loss (4838587.8170264652, 2413.0739050709603)
Iter #: 1060 loss (4930638.0578491101, 2419.5181992376356)
Iter #: 1070 loss (4876339.7277124263, 2426.4393670415157)
Iter #: 1080 loss (4792175.2899397314, 2434.5685109909477)
Iter #: 1090 loss (4835775.4122617701, 2442.158633708545)
Iter #: 1100 loss (4931422.2734654201, 2448.2517248472986)
Iter #: 1110 loss (4874321.5955284694, 2454.8650948918107)
Iter #: 1120 loss (4785751.6053580977, 2462.7447232941936)
Iter #: 1130 loss (4837662.7365527684, 2469.9927977904581)
Iter #: 1140 loss (4942097.2647776576, 2475.8351103455925)
Iter #: 1150 loss (4872887.8718778314, 2482.2118453291187)
Iter #: 1160 loss (4833097.3573779948, 2489.5220331020687)
Iter #: 1170 loss (4884188.2386935251, 2496.5671934940424)
Iter #: 1180 loss (4890207.1930963928, 2502.6937668446917)
Iter #: 1190 loss (4856798.1263031345, 2508.9477013133569)
Iter #: 1200 loss (4751698.909544833, 2516.5844260554941)
Iter #: 1210 loss (4759643.4387967754, 2522.9177211051233)
Iter #: 1220 loss (4772498.5242970297, 2529.3218022387618)
Iter #: 1230 loss (4869884.5156483026, 2535.0292719054396)
Iter #: 1240 loss (4858282.5255527319, 2540.8639420295704)
Iter #: 1250 loss (4790438.5247042514, 2547.9518626649742)
Iter #: 1260 loss (4827616.9552694643, 2554.6916795676862)
Iter #: 1270 loss (4773893.113754198, 2559.5675272889748)
Iter #: 1280 loss (4893851.0349597214, 2565.41143929909)
Iter #: 1290 loss (4913088.5002170317, 2570.8325222073727)
Iter #: 1300 loss (4822346.646510791, 2576.8404203073064)
Iter #: 1310 loss (4930963.759454553, 2582.1393149849164)
Iter #: 1320 loss (4854427.6743827527, 2587.8456821809405)
Iter #: 1330 loss (4937940.4200623687, 2593.4831855972116)
Iter #: 1340 loss (4867436.7022782788, 2598.7833626366305)
Iter #: 1350 loss (4783139.8932389934, 2605.2588771522405)
Iter #: 1360 loss (4955056.2530270107, 2610.1326671411489)
Iter #: 1370 loss (4819688.5233635707, 2615.72574093515)
Iter #: 1380 loss (4839025.3733336031, 2621.6313949550786)
Iter #: 1390 loss (4898554.674628187, 2626.7160666608802)
Iter #: 1400 loss (4929755.4456100119, 2631.9338441885452)
Iter #: 1410 loss (4871048.4140750123, 2636.7119545020614)
Iter #: 1420 loss (4961285.1172427656, 2641.85131405933)
Iter #: 1430 loss (4769611.0209210031, 2647.7370886667541)
Iter #: 1440 loss (4851121.351869775, 2653.5388240532056)
Iter #: 1450 loss (4805360.6729449779, 2658.7091005234784)
Iter #: 1460 loss (4907906.6158754854, 2662.7295151103363)
Iter #: 1470 loss (4917494.7575311922, 2667.5160493724238)
Iter #: 1480 loss (4795523.7788425973, 2673.0736260162403)
Iter #: 1490 loss (4912150.4396100091, 2676.3170998252817)
Iter #: 1500 loss (4831327.885973895, 2681.4908462827098)
Iter #: 1510 loss (4845089.4714834271, 2687.6959824341279)
Iter #: 1520 loss (5008554.9260484353, 2691.4002399121155)
Iter #: 1530 loss (4727637.7636452746, 2695.9816022478335)
Iter #: 1540 loss (4931733.8070357498, 2699.713293424511)
Iter #: 1550 loss (4808204.3077490218, 2704.7466831154229)
Iter #: 1560 loss (4777127.9409306794, 2709.782613060635)
Iter #: 1570 loss (4758572.6647454621, 2715.2594885639014)
Iter #: 1580 loss (4918070.8835969986, 2719.5472428949229)
Iter #: 1590 loss (4839130.7044438776, 2723.902345757946)
Iter #: 1600 loss (4708004.0702215461, 2729.4046017533778)
Iter #: 1610 loss (4757020.5730508761, 2732.5928242711575)
Iter #: 1620 loss (4794606.8562897472, 2736.9714872678724)
Iter #: 1630 loss (4807262.0453862185, 2742.7400758752988)
Iter #: 1640 loss (4839261.3943330431, 2745.7203754047728)
Iter #: 1650 loss (4674456.9338372936, 2751.2726023562527)
Iter #: 1660 loss (4677166.0411288552, 2754.712036114006)
Iter #: 1670 loss (5102594.8840585239, 2756.777481029691)
Iter #: 1680 loss (4574689.44826221, 2762.3865797215658)
Iter #: 1690 loss (4961698.9500841079, 2766.5029364182669)
Iter #: 1700 loss (4568529.5676610153, 2770.4270264218253)
Iter #: 1710 loss (5020226.700400318, 2773.9626703465256)
Iter #: 1720 loss (4670654.378942756, 2778.9747357171223)
Iter #: 1730 loss (5012343.3841062048, 2781.806322746269)
Iter #: 1740 loss (4625686.4564155759, 2786.7709097113857)
Iter #: 1750 loss (4993693.4903468816, 2789.9385781494602)
Iter #: 1760 loss (4781815.8334979601, 2794.9583890614517)
Iter #: 1770 loss (5075811.8912391961, 2796.5493974087944)
Iter #: 1780 loss (4644414.4015529845, 2802.3374190051322)
Iter #: 1790 loss (5056803.052959932, 2804.3362785505365)
Iter #: 1800 loss (4650331.807156045, 2809.5518689996584)
Iter #: 1810 loss (5073253.3333155494, 2811.7463813861609)
Iter #: 1820 loss (4567884.7884474294, 2816.778818434148)
Iter #: 1830 loss (4921615.0155453673, 2820.810325968836)
Iter #: 1840 loss (4617880.6219620323, 2824.517324586147)
Iter #: 1850 loss (5128784.5791886188, 2825.9071456404658)
Iter #: 1860 loss (4575196.2762465961, 2831.257258386313)
Iter #: 1870 loss (4866346.5386581542, 2835.8122785698247)
Iter #: 1880 loss (4618470.4907021346, 2838.6337978110719)
Iter #: 1890 loss (5066376.6106329551, 2840.4959479131376)
Iter #: 1900 loss (4641106.7571515767, 2845.5074190755859)
Iter #: 1910 loss (5122196.626736925, 2846.7130836989977)
Iter #: 1920 loss (4610023.6095874999, 2852.1181444086969)
Iter #: 1930 loss (4939544.4854913391, 2855.2472141002777)
Iter #: 1940 loss (4632679.1067948062, 2858.8311487147316)
Iter #: 1950 loss (4989498.3437143536, 2861.3327482049694)
Iter #: 1960 loss (4560435.8469505766, 2864.9986889472925)
Iter #: 1970 loss (4949491.1117676618, 2868.2393776912049)
Iter #: 1980 loss (4626500.6024225485, 2871.9333604989733)
Iter #: 1990 loss (5027474.2621216904, 2873.9686801103899)
Iter #: 2000 loss (4690169.6898793504, 2878.2068537233386)
Iter #: 2010 loss (5077494.2496772707, 2879.4537841342435)
Iter #: 2020 loss (4616569.5902455356, 2884.6801556057881)
Iter #: 2030 loss (5104401.7746812375, 2885.7268142298362)
Iter #: 2040 loss (4637444.7334058844, 2891.096975437883)
Iter #: 2050 loss (5002203.3447414106, 2892.7577405520874)
Iter #: 2060 loss (4662386.2785669155, 2896.9105398936686)
