Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1.5e-05_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (6370831.7853243314, 3.4603957169947233)
Iter #: 20 loss (6246002.8597063199, 121.38643420152738)
Iter #: 30 loss (6168094.3272869689, 229.27061175781711)
Iter #: 40 loss (6178409.508770016, 333.34257428901088)
Iter #: 50 loss (5821101.0294751674, 427.5616140634495)
Iter #: 60 loss (5958287.9236896215, 515.6725666298413)
Iter #: 70 loss (5597114.4104392147, 597.35892631398929)
Iter #: 80 loss (5812261.4626000114, 673.209997507254)
Iter #: 90 loss (5433849.4691371219, 743.85644865848747)
Iter #: 100 loss (5731877.0449083308, 809.57950006715919)
Iter #: 110 loss (5326361.8482222911, 871.32182034794823)
Iter #: 120 loss (5687208.2130187843, 928.27755757250782)
Iter #: 130 loss (5248634.6275235582, 982.37962290208509)
Iter #: 140 loss (5659954.4374369942, 1032.0249729256805)
Iter #: 150 loss (5191047.5456816461, 1079.8061537817175)
Iter #: 160 loss (5642221.6865926906, 1123.5128480128094)
Iter #: 170 loss (5147448.1133173695, 1166.0944551340961)
Iter #: 180 loss (5629822.5016420251, 1204.9914869644335)
Iter #: 190 loss (5113803.725643523, 1243.278363720314)
Iter #: 200 loss (5616892.5514734676, 1278.2963788607074)
Iter #: 210 loss (5098687.7168935928, 1313.0540145218774)
Iter #: 220 loss (5641732.4906041445, 1343.8387622280895)
Iter #: 230 loss (5594854.8026771909, 1372.9103706828953)
Iter #: 240 loss (5341180.9618608505, 1406.9280155953809)
Iter #: 250 loss (5078012.8456822932, 1430.0746348705989)
Iter #: 260 loss (5076050.2052277299, 1457.3830644068801)
Iter #: 270 loss (5381836.9546844689, 1485.293250713006)
Iter #: 280 loss (4760209.6606830591, 1511.2843042397876)
Iter #: 290 loss (5547495.8723784667, 1550.0655407000656)
Iter #: 300 loss (5324937.2717361152, 1568.256990081059)
Iter #: 310 loss (5155447.063954548, 1589.1967411771166)
Iter #: 320 loss (5536536.9345799778, 1609.9360199725277)
Iter #: 330 loss (5045519.2893129699, 1627.2762519766525)
Iter #: 340 loss (5634318.8747709515, 1649.1549461431407)
Iter #: 350 loss (5778916.7960875649, 1661.8378796792886)
Iter #: 360 loss (5593021.8247031067, 1679.5083044892349)
Iter #: 370 loss (5621735.6256143125, 1695.600675776662)
