Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1e-05_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (6769211.5237504784, 1.8195682623825076)
Iter #: 20 loss (6040121.6953421691, 3.0018864009282273)
Iter #: 30 loss (6253381.1945142662, 73.514276820836329)
Iter #: 40 loss (6128931.3966208007, 150.90518107231185)
Iter #: 50 loss (5922531.5746858837, 218.93979501583021)
Iter #: 60 loss (5805542.7908315975, 283.79559288380511)
Iter #: 70 loss (5695694.8931638272, 345.11258206318428)
Iter #: 80 loss (5606981.0980811371, 403.46571491382088)
Iter #: 90 loss (5528359.807038567, 459.67667240652185)
Iter #: 100 loss (5454095.2000614805, 513.60768586249822)
Iter #: 110 loss (5385838.287206741, 565.07892517978541)
Iter #: 120 loss (5327177.6929875324, 614.33199342800572)
Iter #: 130 loss (5276158.5227861451, 661.7249412553648)
Iter #: 140 loss (5230257.9850553358, 707.38395319180449)
Iter #: 150 loss (5188406.1944694845, 751.35858983849209)
Iter #: 160 loss (5150060.5028931396, 793.71171724839439)
Iter #: 170 loss (5114838.9730539909, 834.52104941589494)
Iter #: 180 loss (5082430.1305574644, 873.86948906679743)
Iter #: 190 loss (5052565.7244830597, 911.83908584601306)
Iter #: 200 loss (5025008.5426546764, 948.5081964700405)
Iter #: 210 loss (4999545.7155498294, 983.95034095979122)
Iter #: 220 loss (4975984.983026241, 1018.233885439905)
Iter #: 230 loss (4954152.5821157936, 1051.4221343115967)
Iter #: 240 loss (4933891.8715823935, 1083.5736242920989)
Iter #: 250 loss (4915062.1944483547, 1114.742502151164)
Iter #: 260 loss (4897537.742173953, 1144.9789144303459)
Iter #: 270 loss (4881206.3361688741, 1174.3293709489215)
Iter #: 280 loss (4865968.1308553526, 1202.8370694182436)
Iter #: 290 loss (4851734.2867713505, 1230.5421840238544)
Iter #: 300 loss (4838425.6701340191, 1257.4821263868655)
Iter #: 310 loss (4825971.6212992761, 1283.6917861590903)
Iter #: 320 loss (4814308.8154406026, 1309.203754933345)
Iter #: 330 loss (4803380.2252777051, 1334.048534195053)
Iter #: 340 loss (4793134.1904010968, 1358.2547267626126)
Iter #: 350 loss (4783523.5977885928, 1381.8492112331758)
Iter #: 360 loss (4774505.1788841067, 1404.857299587635)
Iter #: 370 loss (4766038.9266834557, 1427.3028787036662)
Iter #: 380 loss (4758087.6308928179, 1449.2085368228477)
Iter #: 390 loss (4750616.5220685992, 1470.5956760393765)
Iter #: 400 loss (4743593.0093038408, 1491.4846117737475)
Iter #: 410 loss (4736986.4923504991, 1511.894660114305)
Iter #: 420 loss (4730768.2284608176, 1531.8442139285432)
Iter #: 430 loss (4724911.235992902, 1551.3508087553537)
Iter #: 440 loss (4719390.2199186869, 1570.431179629466)
Iter #: 450 loss (4714181.5079534678, 1589.1013100964894)
Iter #: 460 loss (4709262.9895577915, 1607.3764747125449)
Iter #: 470 loss (4704614.0532108983, 1625.2712762776816)
Iter #: 480 loss (4700215.519903481, 1642.7996789383699)
Iter #: 490 loss (4696049.572630723, 1659.9750381321614)
Iter #: 500 loss (4692099.6827864749, 1676.8101281602994)
Iter #: 510 loss (4688350.5348726902, 1693.3171679837615)
Iter #: 520 loss (4684787.9510150887, 1709.5078456631634)
Iter #: 530 loss (4681398.8165939134, 1725.3933417158958)
Iter #: 540 loss (4678171.0080049951, 1740.9843515508555)
Iter #: 550 loss (4675093.323260705, 1756.2911070622424)
Iter #: 560 loss (4672155.4158760896, 1771.3233974149584)
Iter #: 570 loss (4669347.7322808187, 1786.0905890284264)
Iter #: 580 loss (4666661.4528524233, 1800.6016447562688)
Iter #: 590 loss (4664088.4365679957, 1814.8651422598014)
Iter #: 600 loss (4661621.1692085471, 1828.8892915790182)
Iter #: 610 loss (4659252.7150107501, 1842.6819519121418)
Iter #: 620 loss (4656976.6716358289, 1856.250647621968)
Iter #: 630 loss (4654787.1283102175, 1869.6025834930863)
Iter #: 640 loss (4652678.6269834526, 1882.7446592682477)
Iter #: 650 loss (4650646.1263433797, 1895.6834834947399)
Iter #: 660 loss (4648684.9685264882, 1908.4253867128889)
Iter #: 670 loss (4646790.8483612463, 1920.976434019007)
Iter #: 680 loss (4644959.7849846324, 1933.3424370345776)
Iter #: 690 loss (4643188.095675258, 1945.528965312451)
Iter #: 700 loss (4641472.3717518952, 1957.5413572095094)
Iter #: 710 loss (4639809.4563921103, 1969.3847302537997)
Iter #: 720 loss (4638196.4242324475, 1981.0639910325817)
Iter #: 730 loss (4636630.5626189774, 1992.5838446262571)
Iter #: 740 loss (4635109.3543844782, 2003.9488036116118)
Iter #: 750 loss (4633630.4620360602, 2015.163196656415)
Iter #: 760 loss (4632191.7132444577, 2026.2311767260571)
