Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PPM_dim50_step1e-07_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (7804318.0287821265, 0.00015560975385022169)
Iter #: 20 loss (7799760.2954178834, 0.00031026682268235324)
Iter #: 30 loss (7795677.2642748458, 0.00046402372755349151)
Iter #: 40 loss (7792001.0900397915, 0.00061692360186281416)
Iter #: 50 loss (7788671.1533601126, 0.00076900091458892406)
Iter #: 60 loss (7785632.8720891913, 0.00092028237390508151)
Iter #: 70 loss (7782836.6935034255, 0.0010707879744510851)
Iter #: 80 loss (7780237.2247862415, 0.0012205321670164132)
Iter #: 90 loss (7777792.4695931263, 0.0013695251421020876)
Iter #: 100 loss (7775463.1463162256, 0.0015177742305061571)
Iter #: 110 loss (7773212.0695401225, 0.0016652854350445822)
Iter #: 120 loss (7771003.5806918424, 0.0018120651180074966)
Iter #: 130 loss (7768803.0174572142, 0.0019581218798276484)
Iter #: 140 loss (7766576.2144837491, 0.0021034686751578409)
Iter #: 150 loss (7764289.0304744132, 0.0022481252232790976)
Iter #: 160 loss (7761906.899203252, 0.0023921207803865112)
Iter #: 170 loss (7759394.4044331694, 0.0025354973511345566)
Iter #: 180 loss (7756714.8813371249, 0.0026783134251586)
Iter #: 190 loss (7753830.0499475524, 0.0028206483297343312)
Iter #: 200 loss (7750699.6894844016, 0.0029626072908672807)
Iter #: 210 loss (7747281.3661994711, 0.0031043272889519089)
Iter #: 220 loss (7743530.231623929, 0.0032459837784269306)
Iter #: 230 loss (7739398.9127211012, 0.0033877983098198347)
Iter #: 240 loss (7734837.5201994414, 0.0035300470406005435)
Iter #: 250 loss (7729793.8057104163, 0.003673070043597688)
Iter #: 260 loss (7724213.5021768324, 0.0038172812107875077)
Iter #: 270 loss (7718040.8830985241, 0.0039631784010698695)
Iter #: 280 loss (7711219.5750755621, 0.0041113532895199756)
Iter #: 290 loss (7703693.6513963314, 0.0042625001459882924)
Iter #: 300 loss (7695409.0216603214, 0.0044174225139575873)
Iter #: 310 loss (7686315.1115397494, 0.0045770365026641443)
Iter #: 320 loss (7676366.797169745, 0.0047423691918709555)
Iter #: 330 loss (7665526.5210119104, 0.0049145505434954641)
Iter #: 340 loss (7653766.4733774327, 0.0050947972993328327)
Iter #: 350 loss (7641070.6820556847, 0.0052843877044440714)
Iter #: 360 loss (7627436.8204561016, 0.0054846265929337319)
Iter #: 370 loss (7612877.5327606322, 0.0056968014119948319)
Iter #: 380 loss (7597421.0922088725, 0.0059221310519610194)
Iter #: 390 loss (7581111.2604790516, 0.0061617106938791823)
Iter #: 400 loss (7564006.2986450177, 0.0064164569902947369)
Iter #: 410 loss (7546177.1802492458, 0.0066870584489686835)
Iter #: 420 loss (7527705.1542565683, 0.0069739356707239865)
Iter #: 430 loss (7508678.8784686169, 0.0072772150681244463)
Iter #: 440 loss (7489191.3770893998, 0.0075967180564091514)
Iter #: 450 loss (7469337.0658613155, 0.0079319658312627574)
Iter #: 460 loss (7449209.0429416923, 0.0082821981440943555)
Iter #: 470 loss (7428896.7795001557, 0.0086464032729557331)
Iter #: 480 loss (7408484.2778889528, 0.0090233558016863859)
Iter #: 490 loss (7388048.7096444238, 0.0094116588130990358)
Iter #: 500 loss (7367659.5062477076, 0.0098097875063595328)
Iter #: 510 loss (7347377.8523956882, 0.01021613186474391)
Iter #: 520 loss (7327256.5210702829, 0.01062903665969458)
Iter #: 530 loss (7307339.9876444926, 0.011046837674260221)
Iter #: 540 loss (7287664.7629972957, 0.011467893515615913)
Iter #: 550 loss (7268259.8906995663, 0.011890612755281965)
Iter #: 560 loss (7249147.5594186569, 0.012313476400526551)
Iter #: 570 loss (7230343.788118802, 0.012735055882307349)
Iter #: 580 loss (7211859.1481019603, 0.013154026863845763)
Iter #: 590 loss (7193699.4922700794, 0.013569179245583934)
Iter #: 600 loss (7175866.6680486966, 0.013979423779186772)
Iter #: 610 loss (7158359.1960486518, 0.014383795714786662)
Iter #: 620 loss (7141172.9016283862, 0.014781455898057901)
Iter #: 630 loss (7124301.4909540163, 0.015171689713512135)
Iter #: 640 loss (7107737.0668851715, 0.015553904240590518)
Iter #: 650 loss (7091470.5830308227, 0.015927623954741059)
Iter #: 660 loss (7075492.236658236, 0.01629248526775318)
Iter #: 670 loss (7059791.8028596127, 0.016648230164867103)
Iter #: 680 loss (7044358.9135704516, 0.01699469915920478)
Iter #: 690 loss (7029183.2857807046, 0.01733182375130243)
Iter #: 700 loss (7014254.9036756987, 0.017659618551080346)
Iter #: 710 loss (6999564.1595715135, 0.017978173193741221)
Iter #: 720 loss (6985101.9584449613, 0.018287644159034295)
