Parsing sentences from training set
Initial loss (7809426.9624207867, 4.7257675880596056e-13) theoretical step size 5.60717030489e-09
enwik-200/BFGDiter_from2PMM_dim50_step5.60717030489e-09_0.0
Iter #: 0 loss (7809426.9624207867, 4.7257675880596056e-13)
Iter #: 10 loss (7809125.3056288473, 4.9056857140593115e-07)
Iter #: 20 loss (7808825.6220121859, 9.8097001891831468e-07)
Iter #: 30 loss (7808527.8955782996, 1.4712049977478037e-06)
Iter #: 40 loss (7808232.1104534129, 1.9612741385801136e-06)
Iter #: 50 loss (7807938.2508813841, 2.4511780805577509e-06)
Iter #: 60 loss (7807646.301222356, 2.9409174475136869e-06)
Iter #: 70 loss (7807356.2459515166, 3.4304928639370387e-06)
Iter #: 80 loss (7807068.0696579749, 3.9199049396308716e-06)
Iter #: 90 loss (7806781.7570434604, 4.4091542966629637e-06)
Iter #: 100 loss (7806497.2929212851, 4.8982415266162411e-06)
Iter #: 110 loss (7806214.6622150317, 5.3871672433811129e-06)
Iter #: 120 loss (7805933.8499574475, 5.8759320361697739e-06)
Iter #: 130 loss (7805654.8412893387, 6.3645364938747486e-06)
Iter #: 140 loss (7805377.6214584205, 6.8529812010156e-06)
Iter #: 150 loss (7805102.1758182133, 7.3412667403950498e-06)
Iter #: 160 loss (7804828.4898269288, 7.8293936800648665e-06)
Iter #: 170 loss (7804556.5490464261, 8.3173625910517746e-06)
Iter #: 180 loss (7804286.3391410606, 8.8051740347156001e-06)
Iter #: 190 loss (7804017.8458767496, 9.2928285680687753e-06)
Iter #: 200 loss (7803751.0551197929, 9.7803267402300408e-06)
Iter #: 210 loss (7803485.9528359473, 1.0267669099391954e-05)
Iter #: 220 loss (7803222.5250893328, 1.0754856190147706e-05)
Iter #: 230 loss (7802960.7580414517, 1.1241888543693105e-05)
Iter #: 240 loss (7802700.6379502015, 1.1728766694782677e-05)
Iter #: 250 loss (7802442.1511688605, 1.2215491158442638e-05)
Iter #: 260 loss (7802185.2841451755, 1.2702062470266415e-05)
