Parsing sentences from training set
(1953, 1953)
Initial loss (7714678.7445456507, 2.9068007917069478e-14) theoretical step size 3.71573237211e-07
enwik-200/BFGDiter_from2X0_dim50_step2e-05_0.0
Iter #: 0 loss (7714678.7445456507, 2.9068007917069478e-14)
Iter #: 10 loss (6318463.7053479468, 0.93449996096928145)
Iter #: 20 loss (6585616.6466889828, 45.41580611135381)
Iter #: 30 loss (6126958.2349197399, 100.72558595418516)
Iter #: 40 loss (6698131.6113619329, 142.86445104449194)
Iter #: 50 loss (6009451.3147774925, 191.47895829333686)
Iter #: 60 loss (6639694.8673913209, 236.07765655695135)
Iter #: 70 loss (5865632.6293424973, 283.09494469236586)
Iter #: 80 loss (6753921.8009588448, 327.64712741905998)
Iter #: 90 loss (7124852.7309979461, 303.38648980378372)
Iter #: 100 loss (6531738.201295495, 324.08900646587165)
Iter #: 110 loss (7635208.1395893376, 393.92977856813809)
Iter #: 120 loss (6004981.1581600262, 398.73231303446818)
Iter #: 130 loss (7493776.854833019, 447.26221596720808)
Iter #: 140 loss (6728705.5601166664, 430.01074050006685)
Iter #: 150 loss (6746956.1764132055, 432.56716156883562)
Iter #: 160 loss (5806621.926412479, 486.71459113893138)
Iter #: 170 loss (8472116.2376746405, 694.81801639564344)
Iter #: 180 loss (8818288.0663204752, 184.09390569272441)
Iter #: 190 loss (18228722.027017277, 164.35289695631553)
Iter #: 200 loss (9941849.9007197935, 167.01993572622834)
Iter #: 210 loss (6389581.1083362587, 150.50850504208339)
Iter #: 220 loss (6282054.7160310065, 221.46628779201626)
Iter #: 230 loss (30251371.916312903, 9150.7121474493306)
Iter #: 240 loss (128132685.46408373, 2765909249.1030316)
Iter #: 250 loss (42711396.410463534, 2788902079208050.5)
Iter #: 260 loss (107727379.15115008, 4.5490615799532913e+19)
Iter #: 270 loss (128749060.67093652, 1.8198712041722418e+26)
Iter #: 280 loss (29022547.658270914, 1.8608431561474165e+32)
Iter #: 290 loss (128888053.22941804, 1.1614599794739261e+37)
Iter #: 300 loss (129081414.74172424, 1.2739242576305412e+43)
Iter #: 310 loss (28980028.472086571, 1.303150630135828e+49)
Iter #: 320 loss (128992871.43615146, 7.824513479127438e+53)
Iter #: 330 loss (128926014.82719947, 8.6450273270329725e+59)
Iter #: 340 loss (52170979.291128293, 8.9769787021979842e+65)
Iter #: 350 loss (87582990.060526922, 2.9132794949559368e+68)
Iter #: 360 loss (79110011.610265896, 9.9882128479785813e+70)
Iter #: 370 loss (129434648.41231854, 4.9993092393803264e+75)
