Parsing sentences from training set
Initial loss (1703291502.6073439, 0.0) theoretical step size 3.46993219035e-08
enwik-200/BFGDiter_from9PPM_dim100_step7e-05_0.0
Iter #: 0 loss (1703291502.6073439, 0.0)
Iter #: 1 loss (1703291502.6073439, 0.0)
Iter #: 2 loss (1703291502.6073439, 0.0)
Iter #: 3 loss (1703291502.6073439, 0.0)
Iter #: 4 loss (1703291502.6073439, 0.0)
Iter #: 5 loss (1703291502.6073439, 0.0)
Iter #: 6 loss (1703291502.6073439, 0.0)
Iter #: 7 loss (1703291502.6073439, 0.0)
Iter #: 8 loss (1703291502.6073439, 0.0)
Iter #: 9 loss (1703291502.6073439, 0.0)
Iter #: 10 loss (1703291502.6073439, 0.0)
Iter #: 11 loss (1703291502.6073439, 0.0)
Iter #: 12 loss (1703291502.6073439, 0.0)
Iter #: 13 loss (1703291502.6073439, 0.0)
Iter #: 14 loss (1703291502.6073439, 0.0)
Iter #: 15 loss (1703291502.6073439, 0.0)
Iter #: 16 loss (1703291502.6073439, 0.0)
Iter #: 17 loss (1703291502.6073439, 0.0)
Iter #: 18 loss (1703291502.6073439, 0.0)
Iter #: 19 loss (1703291502.6073439, 0.0)
Iter #: 20 loss (1703291502.6073439, 0.0)
Iter #: 21 loss (1703291502.6073439, 0.0)
Iter #: 22 loss (1703291502.6073439, 0.0)
Iter #: 23 loss (1703291502.6073439, 0.0)
Iter #: 24 loss (1703291502.6073439, 0.0)
Iter #: 25 loss (1703291502.6073439, 0.0)
Iter #: 26 loss (1703291502.6073439, 0.0)
Iter #: 27 loss (1703291502.6073439, 0.0)
Iter #: 28 loss (1703291502.6073439, 0.0)
Iter #: 29 loss (1703291502.6073439, 0.0)
Iter #: 30 loss (1703291502.6073439, 0.0)
Iter #: 31 loss (1703291502.6073439, 0.0)
Iter #: 32 loss (1703291502.6073439, 0.0)
Iter #: 33 loss (1703291502.6073439, 0.0)
Iter #: 34 loss (1703291502.6073439, 0.0)
Iter #: 35 loss (1703291502.6073439, 0.0)
Iter #: 36 loss (1703291502.6073439, 0.0)
Iter #: 37 loss (1703291502.6073439, 0.0)
Iter #: 38 loss (1703291502.6073439, 0.0)
Iter #: 39 loss (1703291502.6073439, 0.0)
Iter #: 40 loss (1703291502.6073439, 0.0)
Iter #: 41 loss (1703291502.6073439, 0.0)
Iter #: 42 loss (1703291502.6073439, 0.0)
Iter #: 43 loss (1703291502.6073439, 0.0)
Iter #: 44 loss (1703291502.6073439, 0.0)
Iter #: 45 loss (1703291502.6073439, 0.0)
Iter #: 46 loss (1703291502.6073439, 0.0)
Iter #: 47 loss (1703291502.6073439, 0.0)
Iter #: 48 loss (1703291502.6073439, 0.0)
Iter #: 49 loss (1703291502.6073439, 0.0)
Iter #: 50 loss (1703291502.6073439, 0.0)
Iter #: 51 loss (1703291502.6073439, 0.0)
Iter #: 52 loss (1703291502.6073439, 0.0)
Iter #: 53 loss (1703291502.6073439, 0.0)
Iter #: 54 loss (1703291502.6073439, 0.0)
Iter #: 55 loss (1703291502.6073439, 0.0)
Iter #: 56 loss (1703291502.6073439, 0.0)
Iter #: 57 loss (1703291502.6073439, 0.0)
Iter #: 58 loss (1703291502.6073439, 0.0)
Iter #: 59 loss (1703291502.6073439, 0.0)
Iter #: 60 loss (1703291502.6073439, 0.0)
Iter #: 61 loss (1703291502.6073439, 0.0)
Iter #: 62 loss (1703291502.6073439, 0.0)
Iter #: 63 loss (1703291502.6073439, 0.0)
Iter #: 64 loss (1703291502.6073439, 0.0)
Iter #: 65 loss (1703291502.6073439, 0.0)
Iter #: 66 loss (1703291502.6073439, 0.0)
Iter #: 67 loss (1703291502.6073439, 0.0)
Iter #: 68 loss (1703291502.6073439, 0.0)
Iter #: 69 loss (1703291502.6073439, 0.0)
Iter #: 70 loss (1703291502.6073439, 0.0)
Iter #: 71 loss (1703291502.6073439, 0.0)
Iter #: 72 loss (1703291502.6073439, 0.0)
Iter #: 73 loss (1703291502.6073439, 0.0)
Iter #: 74 loss (1703291502.6073439, 0.0)
Iter #: 75 loss (1703291502.6073439, 0.0)
Iter #: 76 loss (1703291502.6073439, 0.0)
Iter #: 77 loss (1703291502.6073439, 0.0)
Iter #: 78 loss (1703291502.6073439, 0.0)
Iter #: 79 loss (1703291502.6073439, 0.0)
Iter #: 80 loss (1703291502.6073439, 0.0)
Iter #: 81 loss (1703291502.6073439, 0.0)
Iter #: 82 loss (1703291502.6073439, 0.0)
Iter #: 83 loss (1703291502.6073439, 0.0)
Iter #: 84 loss (1703291502.6073439, 0.0)
Iter #: 85 loss (1703291502.6073439, 0.0)
Iter #: 86 loss (1703291502.6073439, 0.0)
Iter #: 87 loss (1703291502.6073439, 0.0)
Iter #: 88 loss (1703291502.6073439, 0.0)
Iter #: 89 loss (1703291502.6073439, 0.0)
Iter #: 90 loss (1703291502.6073439, 0.0)
Iter #: 91 loss (1703291502.6073439, 0.0)
Iter #: 92 loss (1703291502.6073439, 0.0)
Iter #: 93 loss (1703291502.6073439,
